section|subsection|polity_name|polity_new_ID|polity_old_ID|variable_name|value_from|value_to|year_from|year_to|confidence|is_disputed|is_uncertain|expert_checked
General Variables|Identity and Location|Early Angkor|kh_angkor_1|KhAngkE|alternative_name|Kambdynaudesa||||Confident|False|False|True
General Variables|Identity and Location|Early Angkor|kh_angkor_1|KhAngkE|alternative_name|Kambuja||||Confident|False|False|True
General Variables|Identity and Location|Late Angkor|kh_angkor_3|KhAngkL|alternative_name|Kambudesa||||Confident|False|False|True
General Variables|Identity and Location|Late Angkor|kh_angkor_3|KhAngkL|alternative_name|Late Angkor||||Confident|False|False|True
General Variables|Identity and Location|Late Angkor|kh_angkor_3|KhAngkL|alternative_name|Khmer||||Confident|False|False|True
General Variables|Identity and Location|Late Angkor|kh_angkor_3|KhAngkL|alternative_name|Khmer Kingdom||||Confident|False|False|True
General Variables|Identity and Location|Late Angkor|kh_angkor_3|KhAngkL|alternative_name|Angkor Period||||Confident|False|False|True
General Variables|Identity and Location|Late Angkor|kh_angkor_3|KhAngkL|alternative_name|Kambuja-desa||||Confident|False|False|True
General Variables|Identity and Location|Late Angkor|kh_angkor_3|KhAngkL|alternative_name|Kambudesa||||Confident|False|False|True
General Variables|Identity and Location|Late Angkor|kh_angkor_3|KhAngkL|alternative_name|Kambuja||||Confident|False|False|True
General Variables|Identity and Location|Roman Empire - Principate|it_roman_principate|ItRomPr|alternative_name|Roman Principate||||Confident|False|False|True
General Variables|Identity and Location|Roman Empire - Principate|it_roman_principate|ItRomPr|alternative_name|Imperium Populi Romani||||Confident|False|False|True
General Variables|Identity and Location|Roman Empire - Principate|it_roman_principate|ItRomPr|alternative_name|SPQR||||Confident|False|False|True
General Variables|Identity and Location|Khmer Kingdom|kh_khmer_k|KhCambd|alternative_name|Khmer Kingdom||||Confident|False|False|True
General Variables|Identity and Location|Khmer Kingdom|kh_khmer_k|KhCambd|alternative_name|Angkor Period||||Confident|False|False|True
General Variables|Identity and Location|Khmer Kingdom|kh_khmer_k|KhCambd|alternative_name|Kambuja-desa||||Confident|False|False|True
General Variables|Identity and Location|Khmer Kingdom|kh_khmer_k|KhCambd|alternative_name|Kambudesa||||Confident|False|False|True
General Variables|Identity and Location|Ashikaga Shogunate|jp_ashikaga|JpAshik|alternative_name|Muromachi period||||Confident|False|False|True
General Variables|Identity and Location|Japan - Azuchi-Momoyama|jp_azuchi_momoyama|JpAzMom|alternative_name|Shokuho Period||||Confident|False|False|True
General Variables|Identity and Location|Japan - Incipient Jomon|jp_jomon_1|JpJomo1|alternative_name|Fukui||||Confident|False|False|True
General Variables|Identity and Location|Japan - Incipient Jomon|jp_jomon_1|JpJomo1|alternative_name|Kakoinohara||||Confident|False|False|True
General Variables|Identity and Location|Japan - Initial Jomon|jp_jomon_2|JpJomo2|alternative_name|Kakuriyama||||Confident|False|False|True
General Variables|Identity and Location|Japan - Initial Jomon|jp_jomon_2|JpJomo2|alternative_name|Kuwano||||Confident|False|False|True
General Variables|Identity and Location|Japan - Initial Jomon|jp_jomon_2|JpJomo2|alternative_name|Natsushima||||Confident|False|False|True
General Variables|Identity and Location|Japan - Early Jomon|jp_jomon_3|JpJomo3|alternative_name|Nakanoya||||Confident|False|False|True
General Variables|Identity and Location|Funan II|kh_funan_2|KhFunaL|alternative_name|bnam||||Confident|False|False|True
General Variables|Identity and Location|Saadi Sultanate|ma_saadi_sultanate|MaSaadi|alternative_name|Saadi Dynasty||||Confident|False|False|True
General Variables|Identity and Location|Bamana kingdom|ml_bamana_k|MlBaman|alternative_name|Segou kingdom||||Confident|False|False|True
General Variables|Identity and Location|Austria - Habsburg Dynasty I|at_habsburg_1|at_habsburg_1|alternative_name|33N||||Confident|False|False|False
General Variables|Identity and Location|Segou Kingdom|ml_segou_k|MlSegou|alternative_name|Coulibaly Dynasty||||Confident|False|False|True
General Variables|Identity and Location|Songhai Empire - Askiya Dynasty|ml_songhai_2|MlSong2|alternative_name|Askiya Dynasty||||Confident|False|False|True
General Variables|Identity and Location|Eastern Turk Khaganate|mn_turk_khaganate_1|MnETurk|alternative_name|Northern Turk Khaganate||||Confident|False|False|True
General Variables|Identity and Location|Khitan I|mn_khitan_1|MnKhitn|alternative_name|Liao Dynasty||||Confident|False|False|True
